"","DATE","SEGMENTID","SPEED","GameType"
"17996","2014-12-04","224",23.2291929942807,""
"18080","2014-12-04","225",20.8069131640267,""
"18164","2014-12-04","226",19.0796447524925,""
"18248","2014-12-04","227",22.9117254744047,""
"18332","2014-12-04","228",18.8275325847369,""
"18416","2014-12-04","229",14.8395226290564,""
"18500","2014-12-04","230",33.0252409267628,""
"18584","2014-12-04","231",28.2206624420563,""
"18668","2014-12-04","232",30.2855888401696,""
"18752","2014-12-04","233",23.6186770842674,""
"18836","2014-12-04","234",20.4102661424081,""
"18920","2014-12-04","235",21.7139443167294,""
"19004","2014-12-04","236",19.1570631509848,""
"19088","2014-12-04","237",29.2559151105212,""
"19172","2014-12-04","238",19.7612855552553,""
"19256","2014-12-04","239",25.2370241911332,""
"19340","2014-12-04","240",21.2225877945131,""
"19424","2014-12-04","241",22.9416787621283,""
"19508","2014-12-04","242",19.7809077016788,""
"19592","2014-12-04","243",23.6158068574761,""
"19676","2014-12-04","244",18.7225965232009,""
"19760","2014-12-04","245",26.035666502844,""
"19844","2014-12-04","246",25.4070735627425,""
"19928","2014-12-04","247",25.1368154816048,""
"20012","2014-12-04","248",24.876284868375,""
"20096","2014-12-04","249",24.8762848683667,""
"20180","2014-12-04","250",27.287434295822,""
"20264","2014-12-04","251",23.1315361822301,""
"20348","2014-12-04","252",23.6889363848005,""
"20429","2014-12-04","253",25.7636245420986,""
"20513","2014-12-04","254",25.2108020491506,""
"20597","2014-12-04","255",30.7394690694971,""
"20681","2014-12-04","256",22.4344507416314,""
"20765","2014-12-04","257",21.300942510042,""
"20849","2014-12-04","258",19.5683862153281,""
"20933","2014-12-04","259",23.9282242953584,""
"21017","2014-12-04","260",21.2751791930312,""
"21101","2014-12-04","261",20.1518601063816,""
"21185","2014-12-04","262",23.9035957584505,""
"21269","2014-12-04","263",23.7455315693561,""
"21353","2014-12-04","264",30.6324024680311,""
"21437","2014-12-04","265",29.7048932184764,""
"21521","2014-12-04","266",25.9551538714867,""
"21605","2014-12-04","267",30.4785550766637,""
"21689","2014-12-04","268",27.5645460244724,""
"21773","2014-12-04","269",28.6109806161843,""
"21857","2014-12-04","270",32.3202564421875,""
"21941","2014-12-04","271",24.4255096937062,""
"22025","2014-12-04","272",20.6019919345411,""
"22109","2014-12-04","273",22.2116457469472,""
"22193","2014-12-04","274",24.7941581398886,""
"22277","2014-12-04","275",20.8687455497777,""
"22361","2014-12-04","276",20.3243410417873,""
"22445","2014-12-04","277",23.2709924876267,""
"22529","2014-12-04","278",22.5528880876804,""
"22613","2014-12-04","279",30.9812112220268,""
"22697","2014-12-04","280",24.9791370859494,""
"22781","2014-12-04","281",25.6056964041277,""
"22865","2014-12-04","282",23.6181200637999,""
"22949","2014-12-04","283",19.8824030898966,""
"23033","2014-12-04","284",20.2959311685054,""
"23117","2014-12-04","285",20.9747771624559,""
"23201","2014-12-04","286",19.2946762726718,""
"23285","2014-12-04","287",22.9800149053802,""
"23369","2014-12-04","288",20.5087632821638,""
"23453","2014-12-04","289",20.3083846419539,""
"23537","2014-12-04","290",21.8255932700024,""
"23621","2014-12-04","291",18.3719527448413,""
"23705","2014-12-04","292",21.9018452320021,""
"23789","2014-12-04","293",20.6004292433232,""
"23873","2014-12-04","294",19.8002516944708,""
"23957","2014-12-04","295",19.069556845497,""
"24041","2014-12-04","296",24.2083075565289,""
"24125","2014-12-04","297",15.9557255456042,""
"24209","2014-12-04","298",17.3053975933429,""
"24293","2014-12-04","299",31.2032402826621,""
"24377","2014-12-04","300",33.175874940911,""
"24461","2014-12-04","301",26.7731301974766,""
"24545","2014-12-04","302",28.9138693299691,""
"24629","2014-12-04","303",23.4333396312328,""
"24713","2014-12-04","304",21.283270603432,""
"24797","2014-12-04","305",23.0341064085884,""
"24881","2014-12-04","306",20.6753468928805,""
"24965","2014-12-04","307",22.0827898202999,""
"25049","2014-12-04","308",21.8345003886382,""
"25133","2014-12-04","309",21.0229217071491,""
"25217","2014-12-04","310",20.2072830041555,""
"25301","2014-12-04","311",22.1265059305634,""
"25385","2014-12-04","312",19.0191874337995,""
"25469","2014-12-04","313",25.5156928900137,""
"25553","2014-12-04","314",20.1784110098534,""
"25637","2014-12-04","315",21.3938986009703,""
"25721","2014-12-04","316",20.3261564363481,""
"25805","2014-12-04","317",25.1877821429658,""
"25889","2014-12-04","318",21.9933372465075,""
"25971","2014-12-04","319",16.7442538359168,""
"26055","2014-12-04","320",24.8988679379313,""
"26139","2014-12-04","321",25.9130217988375,""
"26223","2014-12-04","322",23.8003622360869,""
"26307","2014-12-04","323",21.1910033923726,""
"26391","2014-12-04","324",19.4337627018598,""
"26475","2014-12-04","325",21.7249325967861,""
"26559","2014-12-04","326",24.7784303020322,""
"26638","2014-12-04","329",24.5940660312419,""
"26683","2014-12-04","330",22.1846554831816,""
"26740","2014-12-04","331",26.9432450744632,""
"26804","2014-12-04","332",29.1620786955838,""
"26876","2014-12-04","333",26.7302393241462,""
"26947","2014-12-04","334",26.0483882088842,""
"27031","2014-12-04","335",26.272677189096,""
"27115","2014-12-04","336",23.1279433944898,""
"27199","2014-12-04","337",22.7921083611015,""
"27283","2014-12-04","338",21.0719829793663,""
"27367","2014-12-04","339",22.3984725751955,""
"27451","2014-12-04","340",24.5810538538453,""
"27535","2014-12-04","341",25.7227563625514,""
"27619","2014-12-04","342",24.9900557021538,""
"27703","2014-12-04","343",25.29195313201,""
"27787","2014-12-04","344",27.6916456258889,""
"27871","2014-12-04","345",23.1838693017007,""
"27955","2014-12-04","346",26.0927677317257,""
"28039","2014-12-04","347",26.518630221601,""
"28123","2014-12-04","348",20.8313208073173,""
"28207","2014-12-04","349",26.4366699728128,""
"28291","2014-12-04","350",23.1866416794952,""
"28375","2014-12-04","351",20.0573211396923,""
"28459","2014-12-04","352",22.6884373752475,""
"28543","2014-12-04","353",24.194277660725,""
"28627","2014-12-04","354",19.6135894393989,""
"28711","2014-12-04","355",22.7053449712872,""
"28795","2014-12-04","356",21.6035871056032,""
"28879","2014-12-04","357",22.8020330160586,""
"28963","2014-12-04","358",17.599776474681,""
"29047","2014-12-04","359",16.3265885112325,""
"29131","2014-12-04","360",27.502894142183,""
"29215","2014-12-04","361",22.3044815914751,""
"29299","2014-12-04","362",24.4943685212854,""
"29383","2014-12-04","363",24.3842103896024,""
"29467","2014-12-04","364",19.660217696651,""
"29551","2014-12-04","365",23.7527702188235,""
"29635","2014-12-04","366",26.028346102051,""
"29719","2014-12-04","367",28.4988182553805,""
"29875","2014-12-04","371",24.1945885892508,""
"29948","2014-12-04","372",28.713634032359,""
"30012","2014-12-04","373",33.3144595014551,""
"30085","2014-12-04","374",27.9628264083915,""
"30168","2014-12-04","375",26.2976609198321,""
"30252","2014-12-04","376",27.8141180426919,""
"30336","2014-12-04","377",23.5957339467804,""
"30420","2014-12-04","378",23.0152109892469,""
"30504","2014-12-04","379",21.3934018113403,""
"30588","2014-12-04","380",23.0583756278144,""
"30672","2014-12-04","381",23.7506637030416,""
"30756","2014-12-04","382",24.9768595812348,""
"30840","2014-12-04","383",21.3271968259472,""
"30924","2014-12-04","384",25.1789888016133,""
"31008","2014-12-04","385",28.3503746969597,""
"31092","2014-12-04","386",22.3054569455573,""
"31176","2014-12-04","387",28.2059473388024,""
"31260","2014-12-04","388",27.2103297601678,""
"31344","2014-12-04","389",25.1142187249988,""
"31428","2014-12-04","390",23.7193041914749,""
"31512","2014-12-04","391",21.4627607180082,""
"31596","2014-12-04","392",19.0286157000234,""
"31680","2014-12-04","393",22.5813517351136,""
"31764","2014-12-04","394",24.2750652261107,""
"31848","2014-12-04","395",22.3485803248192,""
"31932","2014-12-04","396",19.6982223866707,""
"32016","2014-12-04","397",22.5603938358196,""
"32100","2014-12-04","398",23.0867876575862,""
"32184","2014-12-04","399",19.8173160411189,""
"32268","2014-12-04","400",17.5046905092787,""
"32352","2014-12-04","401",25.9173223405195,""
"32436","2014-12-04","402",20.1198718826353,""
"32520","2014-12-04","403",22.2627601205439,""
"32604","2014-12-04","404",23.1345650573257,""
"32688","2014-12-04","405",20.5334564401339,""
"32772","2014-12-04","406",23.6226901007986,""
"32856","2014-12-04","407",24.9121571528823,""
"32940","2014-12-04","408",28.4595587853732,""
"33024","2014-12-04","409",21.6123037807199,""
"33108","2014-12-04","410",20.553823843313,""
"33192","2014-12-04","411",20.0870117165981,""
"33276","2014-12-04","412",17.4686739991811,""
"33360","2014-12-04","413",22.2260522376482,""
"33444","2014-12-04","414",20.9363367624174,""
"33528","2014-12-04","415",28.8702374072861,""
"33612","2014-12-04","416",27.7471980539068,""
"33696","2014-12-04","417",22.5810058948499,""
"33780","2014-12-04","418",26.7027417340242,""
"33864","2014-12-04","419",20.7066118166199,""
"33948","2014-12-04","420",18.8426841821024,""
"34032","2014-12-04","421",19.1849976517894,""
"34116","2014-12-04","422",18.5092944535827,""
"34200","2014-12-04","423",21.7725609037783,""
"34284","2014-12-04","424",22.6604530777228,""
"34368","2014-12-04","425",23.6815887979414,""
"34452","2014-12-04","426",25.457479917052,""
"34536","2014-12-04","427",26.8910811182755,""
"34620","2014-12-04","428",26.5617291827834,""
"34704","2014-12-04","429",24.1327162149932,""
"34788","2014-12-04","430",30.7376274445629,""
"34872","2014-12-04","439",27.039574247437,""
"34956","2014-12-04","440",27.3924724393802,""
"35040","2014-12-04","441",21.5550698776074,""
"35124","2014-12-04","442",25.6906759079121,""
"35208","2014-12-04","443",28.2619690600108,""
"35292","2014-12-04","444",24.0708204417132,""
"35376","2014-12-04","445",27.1606178364144,""
"35460","2014-12-04","446",18.8597870360965,""
"35544","2014-12-04","447",21.3780946951737,""
"35628","2014-12-04","448",18.6860834824202,""
"35712","2014-12-04","449",31.0768579016585,""
"35796","2014-12-04","450",26.6794387341765,""
"35880","2014-12-04","451",25.9439971622189,""
"35964","2014-12-04","452",21.2756852413999,""
"36048","2014-12-04","453",19.7873956565205,""
"36132","2014-12-04","454",17.7681329418147,""
"36216","2014-12-04","455",20.3230071822232,""
"36300","2014-12-04","456",26.5056153948473,""
"36384","2014-12-04","457",30.0705900487778,""
"36468","2014-12-04","458",33.6264131942322,""
"36552","2014-12-04","459",27.2092071517566,""
"36634","2014-12-04","460",27.5332481942959,""
"36718","2014-12-04","463",23.9075457523249,""
"36802","2014-12-04","464",22.6621688127944,""
"36886","2014-12-04","465",23.8789904002942,""
"36970","2014-12-04","466",24.6086089111382,""
"37054","2014-12-04","467",26.9533128649894,""
"37138","2014-12-04","468",23.4865050350189,""
"37222","2014-12-04","469",30.5832122549284,""
"37306","2014-12-04","470",27.7310953217766,""
"37390","2014-12-04","471",34.1384883547288,""
"37474","2014-12-04","472",35.084238329688,""
"37556","2014-12-04","473",27.1263587447677,""
"37636","2014-12-04","474",27.1942376728581,""
"37720","2014-12-04","477",25.884279235213,""
"37804","2014-12-04","478",23.8444028818212,""
"37888","2014-12-04","479",25.5243142413475,""
"37952","2014-12-04","480",25.0257504302341,""
"38036","2014-12-04","481",23.6819911462887,""
"38120","2014-12-04","482",29.3601091868092,""
"38198","2014-12-04","483",26.2421201939289,""
"38282","2014-12-04","484",26.5246780189965,""
"38366","2014-12-04","485",22.2369972460024,""
"38450","2014-12-04","486",26.720489144776,""
"38497","2014-12-04","487",26.0141030662615,""
"38581","2014-12-04","488",23.3566696006473,""
"38665","2014-12-04","489",26.5414054967219,""
"38710","2014-12-04","490",25.9281881024556,""
"38794","2014-12-04","491",20.7049518440337,""
"38878","2014-12-04","492",21.1552658314033,""
"38962","2014-12-04","493",26.8278879915016,""
"39046","2014-12-04","494",26.5385381914215,""
"39130","2014-12-04","495",23.5996420663952,""
"39214","2014-12-04","496",27.4463706079723,""
"39298","2014-12-04","497",25.6767801709338,""
"39382","2014-12-04","498",19.9350074003317,""
"39466","2014-12-04","499",26.8059477317342,""
"39550","2014-12-04","500",28.0382428505014,""
"39634","2014-12-04","501",23.2085002712688,""
"39718","2014-12-04","502",25.3449757602215,""
"39802","2014-12-04","503",24.4543524628352,""
"39886","2014-12-04","504",26.6547088532823,""
"39970","2014-12-04","505",25.6689989510872,""
"40054","2014-12-04","506",28.6851296411378,""
"40138","2014-12-04","508",26.7634858746473,""
"40222","2014-12-04","509",25.3110614852178,""
"40306","2014-12-04","510",24.9581998551607,""
"40390","2014-12-04","511",25.8870531269966,""
"40474","2014-12-04","512",25.552581138431,""
"40558","2014-12-04","513",24.1899886173592,""
"40642","2014-12-04","514",26.1448890130144,""
"40726","2014-12-04","515",26.4894255790428,""
"40810","2014-12-04","516",21.1935854144426,""
"40894","2014-12-04","517",26.0201677376598,""
"40978","2014-12-04","518",17.6827478786796,""
"41062","2014-12-04","519",26.5073910382658,""
"41146","2014-12-04","520",21.7570159185702,""
"41230","2014-12-04","521",29.2559633763008,""
"41314","2014-12-04","525",24.5812883828507,""
"41398","2014-12-04","526",31.225602284136,""
"41474","2014-12-04","527",31.8159787739231,""
"41546","2014-12-04","528",31.3917993677544,""
"41625","2014-12-04","529",24.3868242778694,""
"41709","2014-12-04","530",30.5140856876826,""
"41793","2014-12-04","531",29.6626268715566,""
"41877","2014-12-04","532",23.338904114114,""
"41961","2014-12-04","533",22.6029637030027,""
"42045","2014-12-04","534",20.2005157394391,""
"42129","2014-12-04","535",20.5675388192056,""
"42213","2014-12-04","536",18.2234987946427,""
"42297","2014-12-04","537",19.3003354159877,""
"42381","2014-12-04","538",18.6980634013891,""
"42465","2014-12-04","539",18.2099468002415,""
"42549","2014-12-04","540",23.6391118387245,""
"42633","2014-12-04","541",21.1593256685023,""
"42717","2014-12-04","542",23.9694192945826,""
"42801","2014-12-04","543",17.5114708157304,""
"42885","2014-12-04","544",20.6618913555834,""
"42969","2014-12-04","545",18.1856460669758,""
"43053","2014-12-04","546",26.9448448284318,""
"43137","2014-12-04","547",24.3904000886445,""
"43221","2014-12-04","548",20.748678945742,""
"43305","2014-12-04","549",20.9369642027993,""
"43389","2014-12-04","550",20.9065710241387,""
"43473","2014-12-04","551",17.6690079825158,""
"43557","2014-12-04","552",19.4834694483447,""
"43641","2014-12-04","553",17.7823107868977,""
"43725","2014-12-04","554",19.6807283965732,""
"43809","2014-12-04","555",22.0950017491498,""
"43893","2014-12-04","556",21.3099423351208,""
"43977","2014-12-04","557",23.2438648391823,""
"44061","2014-12-04","558",21.4441091456691,""
"44145","2014-12-04","559",18.6754164269377,""
"44229","2014-12-04","560",15.8276619327582,""
"44313","2014-12-04","563",25.1969025628388,""
"44397","2014-12-04","564",26.4227590000729,""
"44481","2014-12-04","565",25.4694625255141,""
"44565","2014-12-04","566",30.1678117829353,""
"44649","2014-12-04","567",35.7489515247248,""
"44733","2014-12-04","568",25.9931652024034,""
"44817","2014-12-04","569",26.500896311774,""
"44901","2014-12-04","570",22.1124791271209,""
"44985","2014-12-04","571",24.1788626911647,""
"45069","2014-12-04","572",22.27705354342,""
"45153","2014-12-04","573",19.7429606034636,""
"45237","2014-12-04","574",20.9985912188599,""
"45321","2014-12-04","575",21.7485424688766,""
"45405","2014-12-04","576",23.7036041251622,""
"45489","2014-12-04","577",23.0787053290241,""
"45573","2014-12-04","578",51.787605403813,""
"45657","2014-12-04","579",54.3346311261799,""
"45741","2014-12-04","580",50.2375108166339,""
"45825","2014-12-04","581",54.0332986530363,""
"45909","2014-12-04","582",49.3265021561057,""
"45993","2014-12-04","583",40.606279704149,""
"46077","2014-12-04","584",19.3067293081745,""
"46161","2014-12-04","586",31.9020497773787,""
"46245","2014-12-04","587",40.7152467596093,""
"46329","2014-12-04","589",34.090303609263,""
"46413","2014-12-04","591",31.6959106606586,""
"46496","2014-12-04","592",39.6562812744492,""
"46580","2014-12-04","593",47.0249469271223,""
"46664","2014-12-04","594",48.2228440762231,""
"46748","2014-12-04","595",50.2746096474595,""
"46832","2014-12-04","596",47.4908476752072,""
"46916","2014-12-04","597",48.0003348639704,""
"47000","2014-12-04","598",42.9658000120501,""
"47084","2014-12-04","599",48.6349823889841,""
"47168","2014-12-04","600",51.3580531989429,""
"47252","2014-12-04","601",42.1767662858199,""
"47336","2014-12-04","602",31.9638385922415,""
"47420","2014-12-04","604",29.2491128098475,""
"47504","2014-12-04","605",47.9796165611363,""
"47588","2014-12-04","606",47.5287239894358,""
"47672","2014-12-04","607",52.029580296776,""
"47756","2014-12-04","608",53.074091299075,""
"47840","2014-12-04","609",49.1081074750372,""
"47924","2014-12-04","610",54.0990126828857,""
"48008","2014-12-04","611",52.8401365518232,""
"48092","2014-12-04","612",43.1723688746449,""
"48176","2014-12-04","615",35.9001920001826,""
"48260","2014-12-04","616",38.033279804664,""
"48344","2014-12-04","618",35.9391792963761,""
"48428","2014-12-04","620",35.2969664125818,""
"48508","2014-12-04","621",35.726492542904,""
"48589","2014-12-04","622",42.8005053209891,""
"48673","2014-12-04","623",25.0012886282566,""
"48757","2014-12-04","624",21.6186497528983,""
"48841","2014-12-04","625",21.799511676995,""
"48925","2014-12-04","626",21.7735655905735,""
"49009","2014-12-04","627",24.4230505705185,""
"49093","2014-12-04","628",23.3981581584819,""
"49177","2014-12-04","629",26.2757624166899,""
"49261","2014-12-04","632",26.3875369363586,""
"49345","2014-12-04","633",26.5624310502204,""
"49429","2014-12-04","634",25.1140457158624,""
"49513","2014-12-04","635",29.928055339053,""
"49597","2014-12-04","636",35.6137037705907,""
"49681","2014-12-04","637",26.8469141267608,""
"49765","2014-12-04","638",26.3132149135605,""
"49849","2014-12-04","639",22.8853085685827,""
"49933","2014-12-04","640",23.9029966478321,""
"50017","2014-12-04","641",23.8066095457757,""
"50101","2014-12-04","642",21.6073777083883,""
"50185","2014-12-04","643",20.6212065071422,""
"50269","2014-12-04","644",24.3537829879159,""
"50353","2014-12-04","645",21.2725860602751,""
"50437","2014-12-04","646",23.4036078186104,""
"50521","2014-12-04","647",22.4548602209051,""
"50605","2014-12-04","648",21.2800941699332,""
"50689","2014-12-04","649",21.7446609720756,""
"50773","2014-12-04","650",24.0641429947244,""
