,DateTime,REGION_ID,SPEED
107660,2015-01-05 22:40:00,1,16.36
107661,2015-01-05 22:40:00,2,19.09
107662,2015-01-05 22:40:00,3,17.8
107663,2015-01-05 22:40:00,4,16.57
107664,2015-01-05 22:40:00,5,19.77
107665,2015-01-05 22:40:00,6,18.41
107666,2015-01-05 22:40:00,7,18.41
107667,2015-01-05 22:40:00,8,17.05
107668,2015-01-05 22:40:00,9,19.09
107669,2015-01-05 22:40:00,10,16.36
107670,2015-01-05 22:40:00,11,18.75
107671,2015-01-05 22:40:00,12,15.95
107672,2015-01-05 22:40:00,13,14.32
107673,2015-01-05 22:40:00,14,20.18
107674,2015-01-05 22:40:00,15,21.14
107675,2015-01-05 22:40:00,16,23.86
107676,2015-01-05 22:40:00,17,26.59
107677,2015-01-05 22:40:00,18,20.45
107678,2015-01-05 22:40:00,19,19.77
107679,2015-01-05 22:40:00,20,19.09
107680,2015-01-05 22:40:00,21,21.82
107681,2015-01-05 22:40:00,22,19.5
107682,2015-01-05 22:40:00,23,16.94
107683,2015-01-05 22:40:00,24,19.09
107684,2015-01-05 22:40:00,25,23.86
107685,2015-01-05 22:40:00,26,23.11
107686,2015-01-05 22:40:00,27,20.45
107687,2015-01-05 22:40:00,28,35.45
107688,2015-01-05 22:40:00,29,16.36
107689,2015-01-05 22:30:00,1,17.05
107690,2015-01-05 22:30:00,2,21.14
107691,2015-01-05 22:30:00,3,17.73
107692,2015-01-05 22:30:00,4,18.41
107693,2015-01-05 22:30:00,5,19.09
107694,2015-01-05 22:30:00,6,19.77
107695,2015-01-05 22:30:00,7,17.86
107696,2015-01-05 22:30:00,8,17.05
107697,2015-01-05 22:30:00,9,18.41
107698,2015-01-05 22:30:00,10,17.73
107699,2015-01-05 22:30:00,11,20.45
107700,2015-01-05 22:30:00,12,16.43
107701,2015-01-05 22:30:00,13,14.32
107702,2015-01-05 22:30:00,14,19.77
107703,2015-01-05 22:30:00,15,19.77
107704,2015-01-05 22:30:00,16,20.45
107705,2015-01-05 22:30:00,17,23.18
107706,2015-01-05 22:30:00,18,20.45
107707,2015-01-05 22:30:00,19,18.41
107708,2015-01-05 22:30:00,20,19.09
107709,2015-01-05 22:30:00,21,20.45
107710,2015-01-05 22:30:00,22,20.45
107711,2015-01-05 22:30:00,23,17.05
107712,2015-01-05 22:30:00,24,20.45
107713,2015-01-05 22:30:00,25,22.5
107714,2015-01-05 22:30:00,26,21.82
107715,2015-01-05 22:30:00,27,19.77
107716,2015-01-05 22:30:00,28,0.0
107717,2015-01-05 22:30:00,29,16.3
107718,2015-01-05 22:20:00,1,17.73
107719,2015-01-05 22:20:00,2,21.82
107720,2015-01-05 22:20:00,3,17.18
107721,2015-01-05 22:20:00,4,16.36
107722,2015-01-05 22:20:00,5,20.45
107723,2015-01-05 22:20:00,6,18.41
107724,2015-01-05 22:20:00,7,17.73
107725,2015-01-05 22:20:00,8,17.73
107726,2015-01-05 22:20:00,9,18.41
107727,2015-01-05 22:20:00,10,16.36
107728,2015-01-05 22:20:00,11,18.41
107729,2015-01-05 22:20:00,12,15.68
107730,2015-01-05 22:20:00,13,14.32
107731,2015-01-05 22:20:00,14,20.45
107732,2015-01-05 22:20:00,15,19.77
107733,2015-01-05 22:20:00,16,36.82
107734,2015-01-05 22:20:00,17,21.95
107735,2015-01-05 22:20:00,18,20.45
107736,2015-01-05 22:20:00,19,20.39
107737,2015-01-05 22:20:00,20,18.41
107738,2015-01-05 22:20:00,21,20.39
107739,2015-01-05 22:20:00,22,18.41
107740,2015-01-05 22:20:00,23,18.41
107741,2015-01-05 22:20:00,24,21.82
107742,2015-01-05 22:20:00,25,22.5
107743,2015-01-05 22:20:00,26,22.5
107744,2015-01-05 22:20:00,27,21.14
107745,2015-01-05 22:20:00,28,30.82
107746,2015-01-05 22:20:00,29,18.0
107747,2015-01-05 22:10:00,14,20.25
107748,2015-01-05 22:10:00,15,19.09
107749,2015-01-05 22:10:00,16,21.82
107750,2015-01-05 22:10:00,17,23.18
107751,2015-01-05 22:10:00,18,19.77
107752,2015-01-05 22:10:00,19,19.77
107753,2015-01-05 22:10:00,20,19.09
107754,2015-01-05 22:10:00,21,21.82
107755,2015-01-05 22:10:00,22,20.45
107756,2015-01-05 22:10:00,23,17.05
107757,2015-01-05 22:10:00,24,19.09
107758,2015-01-05 22:10:00,25,22.5
107759,2015-01-05 22:10:00,26,20.45
107760,2015-01-05 22:10:00,27,23.86
107761,2015-01-05 22:10:00,28,0.0
107762,2015-01-05 22:10:00,29,19.09
107763,2015-01-05 22:10:00,1,16.36
107764,2015-01-05 22:10:00,2,20.45
107765,2015-01-05 22:10:00,3,17.05
107766,2015-01-05 22:10:00,4,17.73
107767,2015-01-05 22:10:00,5,19.77
107768,2015-01-05 22:10:00,6,19.77
107769,2015-01-05 22:10:00,7,17.05
107770,2015-01-05 22:10:00,8,19.09
107771,2015-01-05 22:10:00,9,17.39
107772,2015-01-05 22:10:00,10,17.73
107773,2015-01-05 22:10:00,11,18.41
107774,2015-01-05 22:10:00,12,15.68
107775,2015-01-05 22:10:00,13,14.32
107776,2015-01-05 22:00:00,1,16.5
107777,2015-01-05 22:00:00,2,19.09
107778,2015-01-05 22:00:00,3,17.73
107779,2015-01-05 22:00:00,4,16.98
107780,2015-01-05 22:00:00,5,19.77
107781,2015-01-05 22:00:00,6,19.09
107782,2015-01-05 22:00:00,7,18.41
107783,2015-01-05 22:00:00,8,19.09
107784,2015-01-05 22:00:00,9,18.41
107785,2015-01-05 22:00:00,10,18.41
107786,2015-01-05 22:00:00,11,17.05
107787,2015-01-05 22:00:00,12,15.68
107788,2015-01-05 22:00:00,13,15.68
107789,2015-01-05 22:00:00,14,21.14
107790,2015-01-05 22:00:00,15,21.14
107791,2015-01-05 22:00:00,16,32.45
107792,2015-01-05 22:00:00,17,23.18
107793,2015-01-05 22:00:00,18,19.77
107794,2015-01-05 22:00:00,19,19.77
107795,2015-01-05 22:00:00,20,19.77
107796,2015-01-05 22:00:00,21,22.5
107797,2015-01-05 22:00:00,22,20.45
107798,2015-01-05 22:00:00,23,16.36
107799,2015-01-05 22:00:00,24,19.77
107800,2015-01-05 22:00:00,25,22.5
107801,2015-01-05 22:00:00,26,20.45
107802,2015-01-05 22:00:00,27,21.14
107803,2015-01-05 22:00:00,28,0.0
107804,2015-01-05 22:00:00,29,17.05
107805,2015-01-05 21:50:00,1,18.41
107806,2015-01-05 21:50:00,2,22.5
107807,2015-01-05 21:50:00,3,17.73
107808,2015-01-05 21:50:00,4,17.05
107809,2015-01-05 21:50:00,5,19.77
107810,2015-01-05 21:50:00,6,18.14
107811,2015-01-05 21:50:00,7,18.41
107812,2015-01-05 21:50:00,8,17.05
107813,2015-01-05 21:50:00,9,20.45
107814,2015-01-05 21:50:00,10,17.73
107815,2015-01-05 21:50:00,11,17.73
107816,2015-01-05 21:50:00,12,15.0
107817,2015-01-05 21:50:00,13,14.32
107818,2015-01-05 21:50:00,14,19.77
107819,2015-01-05 21:50:00,15,19.77
107820,2015-01-05 21:50:00,16,28.09
107821,2015-01-05 21:50:00,17,20.45
107822,2015-01-05 21:50:00,18,19.77
107823,2015-01-05 21:50:00,19,19.77
107824,2015-01-05 21:50:00,20,19.77
107825,2015-01-05 21:50:00,21,23.18
107826,2015-01-05 21:50:00,22,21.14
107827,2015-01-05 21:50:00,23,17.05
107828,2015-01-05 21:50:00,24,20.45
107829,2015-01-05 21:50:00,25,23.86
107830,2015-01-05 21:50:00,26,21.14
